epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4272,1.01756,2.22704,1.31092,1,0.2625,0.58508,0.41822,0.80655,2.97172,1.27868,0.00038341,0.00038341,0.00038341
2,109.343,0.87001,1.12125,1.17982,0.857,0.55449,0.74031,0.44276,1.0826,2.5822,1.49834,0.000767977,0.000767977,0.000767977
3,161.002,0.84088,1.02407,1.1425,0.80346,0.82785,0.95943,0.75336,0.81881,1.6875,1.18911,0.0011367,0.0011367,0.0011367
4,213.616,0.84011,0.96804,1.14072,0.8659,0.9393,0.98454,0.70817,0.93962,1.45433,1.33673,0.00148958,0.00148958,0.00148958
5,267.467,0.88902,0.88504,1.18781,0.92684,0.93733,0.98202,0.78084,0.8035,1.19721,1.25312,0.00153497,0.00153497,0.00153497
6,320.828,0.80861,0.79782,1.14024,0.93661,0.89292,0.96093,0.73298,0.90044,1.09864,1.37039,0.00150197,0.00150197,0.00150197
7,373.924,0.80104,0.74221,1.13945,0.98674,0.93396,0.98844,0.73177,0.97578,1.10013,1.30574,0.00146896,0.00146896,0.00146896
8,426.855,0.77743,0.70525,1.12923,0.97284,1,0.99393,0.81413,0.76831,0.81881,1.19315,0.00143595,0.00143595,0.00143595
9,478.913,0.76513,0.65399,1.10527,0.93551,0.84674,0.93701,0.70221,0.9366,1.09113,1.41991,0.00140295,0.00140295,0.00140295
10,530.622,0.75584,0.64974,1.10629,0.93604,0.82046,0.94605,0.73321,0.94207,0.9632,1.37571,0.00136994,0.00136994,0.00136994
11,582.702,0.7332,0.59124,1.08803,0.99706,0.95911,0.98718,0.75431,0.85631,0.77909,1.27651,0.00133693,0.00133693,0.00133693
12,634.569,0.70865,0.5735,1.06796,0.92089,0.93343,0.97702,0.74845,0.81253,0.8325,1.22062,0.00130393,0.00130393,0.00130393
13,686.687,0.71961,0.55868,1.0784,0.9985,0.99742,0.995,0.84454,0.70055,0.54479,1.16582,0.00127092,0.00127092,0.00127092
14,738.527,0.71317,0.54271,1.07379,0.99602,0.98972,0.99474,0.85193,0.65189,0.49741,1.11577,0.00123791,0.00123791,0.00123791
15,790.663,0.68468,0.52902,1.06552,0.99201,1,0.995,0.83868,0.68184,0.50859,1.1248,0.00120491,0.00120491,0.00120491
16,842.72,0.6538,0.47659,1.03127,0.98859,1,0.995,0.86201,0.6264,0.46274,1.09505,0.0011719,0.0011719,0.0011719
17,894.777,0.66682,0.49517,1.0407,0.99478,1,0.995,0.85512,0.61076,0.44687,1.08152,0.00113889,0.00113889,0.00113889
18,946.836,0.65998,0.46805,1.04197,0.99009,0.99163,0.995,0.85408,0.62082,0.44526,1.09134,0.00110589,0.00110589,0.00110589
19,998.795,0.65692,0.47119,1.03822,0.99642,0.99933,0.995,0.85948,0.62298,0.45313,1.07341,0.00107288,0.00107288,0.00107288
20,1050.8,0.6681,0.46732,1.07052,0.99687,1,0.995,0.84873,0.64762,0.41967,1.10517,0.00103987,0.00103987,0.00103987
21,1102.65,0.62997,0.4522,1.03495,0.99197,1,0.995,0.86295,0.6334,0.42984,1.08974,0.00100687,0.00100687,0.00100687
22,1154.7,0.63949,0.45021,1.03575,0.97679,0.99904,0.99364,0.85236,0.64568,0.44956,1.10637,0.000973861,0.000973861,0.000973861
23,1206.79,0.6236,0.42049,1.0296,0.99837,1,0.995,0.83519,0.71276,0.44332,1.17643,0.000940855,0.000940855,0.000940855
24,1259.05,0.64089,0.45301,1.04777,0.996,0.9918,0.995,0.85442,0.60947,0.39262,1.07073,0.000907848,0.000907848,0.000907848
25,1311.09,0.63477,0.43283,1.04202,0.99638,0.99091,0.99327,0.85875,0.60228,0.40804,1.06264,0.000874842,0.000874842,0.000874842
26,1363.08,0.61949,0.41737,1.01616,0.98683,0.98984,0.99248,0.85295,0.60995,0.41202,1.07133,0.000841835,0.000841835,0.000841835
27,1415.15,0.59522,0.40198,1.02043,0.99409,0.99957,0.995,0.85203,0.65812,0.38599,1.10786,0.000808828,0.000808828,0.000808828
28,1467.36,0.61214,0.41879,1.02561,0.98535,0.99798,0.995,0.86537,0.6214,0.37678,1.07245,0.000775822,0.000775822,0.000775822
29,1519.94,0.60815,0.40391,1.01392,0.98781,0.99885,0.995,0.8773,0.59682,0.36818,1.06527,0.000742815,0.000742815,0.000742815
30,1572.49,0.60093,0.40096,1.03735,0.99765,1,0.995,0.8697,0.6109,0.36232,1.05482,0.000709809,0.000709809,0.000709809
31,1624.75,0.5772,0.38642,1.01581,0.99513,0.99971,0.995,0.8812,0.59692,0.33388,1.04993,0.000676802,0.000676802,0.000676802
32,1677.13,0.56485,0.36995,0.99758,0.98752,0.9988,0.995,0.87688,0.60226,0.35167,1.05333,0.000643795,0.000643795,0.000643795
33,1729.23,0.56315,0.3727,1.01648,0.98829,0.99905,0.995,0.87499,0.60077,0.34498,1.05594,0.000610789,0.000610789,0.000610789
34,1783.61,0.56311,0.36683,1.00593,0.99484,1,0.995,0.88281,0.58302,0.33206,1.06347,0.000577782,0.000577782,0.000577782
35,1835.84,0.55851,0.36074,0.99711,0.98677,1,0.995,0.88782,0.55923,0.3428,1.03212,0.000544776,0.000544776,0.000544776
36,1886.38,0.52529,0.33857,0.971,0.99721,1,0.995,0.86539,0.5898,0.32082,1.05638,0.000511769,0.000511769,0.000511769
37,1936.79,0.55067,0.35701,0.98433,0.99716,1,0.995,0.88197,0.58837,0.31703,1.04205,0.000478762,0.000478762,0.000478762
38,1987.02,0.53257,0.34115,0.97173,0.99746,1,0.995,0.88669,0.58386,0.31704,1.0539,0.000445756,0.000445756,0.000445756
39,2036.85,0.53892,0.34638,0.98966,0.99745,1,0.995,0.88099,0.57889,0.30251,1.03814,0.000412749,0.000412749,0.000412749
40,2086.94,0.5301,0.33286,0.98188,0.99697,1,0.995,0.88938,0.55957,0.30658,1.01603,0.000379743,0.000379743,0.000379743
